Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Tepelné čerpadlo,Kola,Náhon 4x4,Extra,Stav,Zdroj,Odkaz na auto
Tesla Model X,679900,142875,306,2017,Ne,"20""",Ano,Dojezd 489 km / Baterie 90 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/tesla-model-x/
Volvo XC40,684990,52414,170,2022,Ne,"19""",Ne,Dojezd 425 km / Baterie 63 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volvo-xc40/
Audi Q4 e-tron,719900,80622,150,2021,Ne,"20""",Ne,Dojezd 523 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/audi-q4-e-tron-2/
VW ID.3,720000,9387,150,2024,Ne,"18""",Ne,Dojezd 434 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volkswagen-id-3-3/
VW ID.4 Pro Performance,739900,52006,150,2022,Ne,"19""",Ne,Dojezd 537 km / Baterie 82 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volkswagen-id-4-pro-performance/
Mercedes-Benz EQA,749900,49576,140,2022,Ne,,Ne,Dojezd 486 km / Baterie 69 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/mercedes-benz-eqa/
Audi Q4 e-tron,749900,100870,150,2022,Ne,,Ne,Dojezd 535 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/audi-q4-e-tron/
MINI Cooper SE,759900,2754,,2024,Ne,,Ne,Dojezd 305 km / Baterie 40 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/mini-cooper-se/
VW ID.4,769900,67207,150,2022,Ne,"19""",Ne,Dojezd 537 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volkswagen-id-4/
VW ID.3,799900,43169,150,2023,Ne,"20""",Ne,Dojezd 559 km / Baterie 82 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volkswagen-id-3/
VW ID.5 GTX,799900,62144,220,2022,Ne,"20""",Ano,Dojezd 517 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volkswagen-id-5-gtx/
Volvo C40,819990,38063,,2022,Ne,"19""",Ano,Dojezd 449 km / Baterie 78 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/volvo-c40/
Kia EV3,949900,1101,150,2025,Ne,"17""",Ne,Dojezd 605 km,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/kia-ev3/
BYD Seal,049900,44796,390,2024,Ne,"19""",Ano,Dojezd 520 km / Baterie 84 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/byd-seal/
Mercedes-Benz EQE,149900,37036,215,2022,Ano,,Ne,Dojezd 693 km / Baterie 105 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/mercedes-benz-eqe/
BMW iX,149900,25518,240,2022,Ano,"21""",Ano,Dojezd 425 km / Baterie 76 kWh,Dostupný,EnergyCars.cz,https://www.energycars.cz/vuz/bmw-ix/
